"filename", "language", "JavaScript", "PHP", "SQL", "XML", "SCSS", "JSON", "CSS", "Markdown", "YAML", "comment", "blank", "total"
"c:\Users\kukohfr\Desktop\webdesa\app\Http\Middleware\EncryptCookies.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 0, 6, 4, 18
"c:\Users\kukohfr\Desktop\webdesa\app\Http\Middleware\RedirectIfAuthenticated.php", "PHP", 0, 15, 0, 0, 0, 0, 0, 0, 0, 8, 5, 28
"c:\Users\kukohfr\Desktop\webdesa\app\Http\Middleware\TrimStrings.php", "PHP", 0, 10, 0, 0, 0, 0, 0, 0, 0, 5, 4, 19
"c:\Users\kukohfr\Desktop\webdesa\app\Http\Middleware\TrustProxies.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 0, 0, 10, 5, 29
"c:\Users\kukohfr\Desktop\webdesa\app\Http\Middleware\VerifyCsrfToken.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 0, 0, 11, 5, 25
"c:\Users\kukohfr\Desktop\webdesa\app\Imports\Ipenduduk.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 0, 6, 5, 33
"c:\Users\kukohfr\Desktop\webdesa\app\Imports\Pemasukann.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 0, 5, 4, 28
"c:\Users\kukohfr\Desktop\webdesa\app\Imports\Pengeluaran.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 0, 5, 4, 28
"c:\Users\kukohfr\Desktop\webdesa\app\KomentarBrita.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13
"c:\Users\kukohfr\Desktop\webdesa\app\Pemasukan.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\kukohfr\Desktop\webdesa\app\Penduduk.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 4, 14
"c:\Users\kukohfr\Desktop\webdesa\app\Pengluaran.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\kukohfr\Desktop\webdesa\app\Potensi.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\kukohfr\Desktop\webdesa\app\Product.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 14, 23
"c:\Users\kukohfr\Desktop\webdesa\app\Providers\AppServiceProvider.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 0, 0, 12, 5, 29
"c:\Users\kukohfr\Desktop\webdesa\app\Providers\AuthServiceProvider.php", "PHP", 0, 13, 0, 0, 0, 0, 0, 0, 0, 12, 6, 31
"c:\Users\kukohfr\Desktop\webdesa\app\Providers\BroadcastServiceProvider.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 0, 0, 5, 5, 22
"c:\Users\kukohfr\Desktop\webdesa\app\Providers\EventServiceProvider.php", "PHP", 0, 18, 0, 0, 0, 0, 0, 0, 0, 11, 6, 35
"c:\Users\kukohfr\Desktop\webdesa\app\Providers\RouteServiceProvider.php", "PHP", 0, 31, 0, 0, 0, 0, 0, 0, 0, 38, 12, 81
"c:\Users\kukohfr\Desktop\webdesa\app\Quetes.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\kukohfr\Desktop\webdesa\app\Services.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 4, 11
"c:\Users\kukohfr\Desktop\webdesa\app\Slider.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\kukohfr\Desktop\webdesa\app\Structurdesa.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13
"c:\Users\kukohfr\Desktop\webdesa\app\User.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 0, 0, 15, 7, 45
"c:\Users\kukohfr\Desktop\webdesa\app\Webs.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\kukohfr\Desktop\webdesa\bootstrap\app.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 0, 0, 30, 9, 56
"c:\Users\kukohfr\Desktop\webdesa\composer.json", "JSON", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 1, 70
"c:\Users\kukohfr\Desktop\webdesa\composer.lock", "JSON", 0, 0, 0, 0, 0, 9090, 0, 0, 0, 0, 1, 9091
"c:\Users\kukohfr\Desktop\webdesa\config\app.php", "PHP", 0, 85, 0, 0, 0, 0, 0, 0, 0, 120, 31, 236
"c:\Users\kukohfr\Desktop\webdesa\config\auth.php", "PHP", 0, 33, 0, 0, 0, 0, 0, 0, 0, 70, 15, 118
"c:\Users\kukohfr\Desktop\webdesa\config\broadcasting.php", "PHP", 0, 26, 0, 0, 0, 0, 0, 0, 0, 22, 12, 60
"c:\Users\kukohfr\Desktop\webdesa\config\cache.php", "PHP", 0, 52, 0, 0, 0, 0, 0, 0, 0, 34, 18, 104
"c:\Users\kukohfr\Desktop\webdesa\config\database.php", "PHP", 0, 81, 0, 0, 0, 0, 0, 0, 0, 45, 22, 148
"c:\Users\kukohfr\Desktop\webdesa\config\excel.php", "PHP", 0, 58, 0, 0, 0, 0, 0, 0, 0, 107, 22, 187
"c:\Users\kukohfr\Desktop\webdesa\config\filesystems.php", "PHP", 0, 25, 0, 0, 0, 0, 0, 0, 0, 32, 13, 70
"c:\Users\kukohfr\Desktop\webdesa\config\hashing.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 0, 0, 32, 9, 53
"c:\Users\kukohfr\Desktop\webdesa\config\logging.php", "PHP", 0, 64, 0, 0, 0, 0, 0, 0, 0, 24, 17, 105
"c:\Users\kukohfr\Desktop\webdesa\config\mail.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 0, 93, 23, 137
"c:\Users\kukohfr\Desktop\webdesa\config\queue.php", "PHP", 0, 42, 0, 0, 0, 0, 0, 0, 0, 32, 15, 89
"c:\Users\kukohfr\Desktop\webdesa\config\services.php", "PHP", 0, 16, 0, 0, 0, 0, 0, 0, 0, 11, 7, 34
"c:\Users\kukohfr\Desktop\webdesa\config\session.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 0, 145, 33, 200
"c:\Users\kukohfr\Desktop\webdesa\config\view.php", "PHP", 0, 10, 0, 0, 0, 0, 0, 0, 0, 20, 7, 37
"c:\Users\kukohfr\Desktop\webdesa\database\factories\UserFactory.php", "PHP", 0, 13, 0, 0, 0, 0, 0, 0, 0, 11, 5, 29
"c:\Users\kukohfr\Desktop\webdesa\database\migrations\2014_10_12_000000_create_users_table.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 0, 0, 10, 4, 37
"c:\Users\kukohfr\Desktop\webdesa\database\migrations\2014_10_12_100000_create_password_resets_table.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 0, 10, 4, 33
"c:\Users\kukohfr\Desktop\webdesa\database\migrations\2019_08_19_000000_create_failed_jobs_table.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 0, 10, 4, 36
"c:\Users\kukohfr\Desktop\webdesa\database\migrations\2020_01_31_072035_create_products_table.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 0, 10, 7, 37
"c:\Users\kukohfr\Desktop\webdesa\database\migrations\2020_02_01_093929_create_table_brita_table.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 0, 0, 10, 4, 37
"c:\Users\kukohfr\Desktop\webdesa\database\migrations\2020_02_01_103355_create_galery_table.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 0, 10, 4, 34
"c:\Users\kukohfr\Desktop\webdesa\database\migrations\2020_02_01_103528_create_potensi_desa_table.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 0, 0, 10, 4, 37
"c:\Users\kukohfr\Desktop\webdesa\database\migrations\2020_02_01_103608_create_penduduk_table.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 0, 0, 10, 5, 42
"c:\Users\kukohfr\Desktop\webdesa\database\migrations\2020_02_01_103713_create_dana_desa_table.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 0, 10, 4, 33
"c:\Users\kukohfr\Desktop\webdesa\database\migrations\2020_02_01_103755_create_structur_desa_table.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 0, 10, 4, 36
"c:\Users\kukohfr\Desktop\webdesa\database\migrations\2020_02_02_025500_create_pengluaran_dasa_table.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 0, 0, 10, 4, 37
"c:\Users\kukohfr\Desktop\webdesa\database\migrations\2020_02_02_025512_create_pemasukan_desa_table.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 0, 0, 10, 5, 38
"c:\Users\kukohfr\Desktop\webdesa\database\migrations\2020_02_12_014910_create_komentar_brita_table.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 0, 10, 4, 35
"c:\Users\kukohfr\Desktop\webdesa\database\migrations\2020_02_12_032630_create_slider_table.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 0, 10, 5, 37
"c:\Users\kukohfr\Desktop\webdesa\database\migrations\2020_02_12_052124_create_web_setting_table.php", "PHP", 0, 26, 0, 0, 0, 0, 0, 0, 0, 10, 5, 41
"c:\Users\kukohfr\Desktop\webdesa\database\migrations\2020_02_13_000130_create_quetes_table.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 0, 10, 5, 36
"c:\Users\kukohfr\Desktop\webdesa\database\migrations\2020_04_15_003233_create_table_services.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 0, 10, 5, 36
"c:\Users\kukohfr\Desktop\webdesa\database\seeds\DatabaseSeeder.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 0, 6, 3, 17
"c:\Users\kukohfr\Desktop\webdesa\index.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 0, 9, 5, 22
"c:\Users\kukohfr\Desktop\webdesa\package.json", "JSON", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 1, 22
"c:\Users\kukohfr\Desktop\webdesa\phpunit.xml", "XML", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 2, 38
"c:\Users\kukohfr\Desktop\webdesa\public\assets\css\app-rtl.css", "CSS", 0, 0, 0, 0, 0, 0, 4617, 0, 0, 27, 570, 5214
"c:\Users\kukohfr\Desktop\webdesa\public\assets\css\app-rtl.min.css", "CSS", 0, 0, 0, 0, 0, 0, 2, 0, 0, 6, 1, 9
"c:\Users\kukohfr\Desktop\webdesa\public\assets\css\app.css", "CSS", 0, 0, 0, 0, 0, 0, 2648, 0, 0, 23, 330, 3001
"c:\Users\kukohfr\Desktop\webdesa\public\assets\css\app.min.css", "CSS", 0, 0, 0, 0, 0, 0, 2, 0, 0, 6, 1, 9
"c:\Users\kukohfr\Desktop\webdesa\public\assets\css\bootstrap.css", "CSS", 0, 0, 0, 0, 0, 0, 8062, 0, 0, 15, 945, 9022
"c:\Users\kukohfr\Desktop\webdesa\public\assets\css\bootstrap.min.css", "CSS", 0, 0, 0, 0, 0, 0, 2, 0, 0, 5, 1, 8
"c:\Users\kukohfr\Desktop\webdesa\public\assets\css\icons.css", "CSS", 0, 0, 0, 0, 0, 0, 13191, 0, 0, 139, 6476, 19806
"c:\Users\kukohfr\Desktop\webdesa\public\assets\css\icons.min.css", "CSS", 0, 0, 0, 0, 0, 0, 2, 0, 0, 14, 1, 17
"c:\Users\kukohfr\Desktop\webdesa\public\assets\data\ajax_children.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\kukohfr\Desktop\webdesa\public\assets\data\ajax_roots.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\kukohfr\Desktop\webdesa\public\assets\fonts\Simple-Line-Icons.svg", "XML", 0, 0, 0, 200, 0, 0, 0, 0, 0, 0, 1, 201
"c:\Users\kukohfr\Desktop\webdesa\public\assets\fonts\dripicons-v2.svg", "XML", 0, 0, 0, 209, 0, 0, 0, 0, 0, 0, 2, 211
"c:\Users\kukohfr\Desktop\webdesa\public\assets\fonts\dropify.svg", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\kukohfr\Desktop\webdesa\public\assets\fonts\fa-brands-400.svg", "XML", 0, 0, 0, 3296, 0, 0, 0, 0, 0, 4, 1, 3301
"c:\Users\kukohfr\Desktop\webdesa\public\assets\fonts\fa-regular-400.svg", "XML", 0, 0, 0, 799, 0, 0, 0, 0, 0, 4, 1, 804
"c:\Users\kukohfr\Desktop\webdesa\public\assets\fonts\fa-solid-900.svg", "XML", 0, 0, 0, 4516, 0, 0, 0, 0, 0, 4, 1, 4521
"c:\Users\kukohfr\Desktop\webdesa\public\assets\fonts\feather.svg", "XML", 0, 0, 0, 295, 0, 0, 0, 0, 0, 3, 552, 850
"c:\Users\kukohfr\Desktop\webdesa\public\assets\fonts\footable.svg", "XML", 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 78
"c:\Users\kukohfr\Desktop\webdesa\public\assets\fonts\line-awesome.svg", "XML", 0, 0, 0, 2624, 0, 0, 0, 0, 0, 3, 2, 2629
"c:\Users\kukohfr\Desktop\webdesa\public\assets\fonts\materialdesignicons-webfont.svg", "XML", 0, 0, 0, 11097, 0, 0, 0, 0, 0, 0, 1, 11098
"c:\Users\kukohfr\Desktop\webdesa\public\assets\js\app.js", "JavaScript", 203, 0, 0, 0, 0, 0, 0, 0, 0, 44, 40, 287
"c:\Users\kukohfr\Desktop\webdesa\public\assets\js\app.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\kukohfr\Desktop\webdesa\public\assets\js\jquery.validate.js", "JavaScript", 1222, 0, 0, 0, 0, 0, 0, 0, 0, 187, 241, 1650
"c:\Users\kukohfr\Desktop\webdesa\public\assets\js\pages\calendar.init.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\kukohfr\Desktop\webdesa\public\assets\js\pages\chartist.init.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\kukohfr\Desktop\webdesa\public\assets\js\pages\chartjs.init.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\kukohfr\Desktop\webdesa\public\assets\js\pages\dashboard.init.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\kukohfr\Desktop\webdesa\public\assets\js\pages\datatables.init.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\kukohfr\Desktop\webdesa\public\assets\js\pages\flot.init.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\kukohfr\Desktop\webdesa\public\assets\js\pages\form-advanced.init.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\kukohfr\Desktop\webdesa\public\assets\js\pages\form-summernote.init.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\kukohfr\Desktop\webdesa\public\assets\js\pages\form-validation.init.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\kukohfr\Desktop\webdesa\public\assets\js\pages\form-wizard.init.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\kukohfr\Desktop\webdesa\public\assets\js\pages\google-maps.init.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\kukohfr\Desktop\webdesa\public\assets\js\pages\jqvector-maps.init.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\kukohfr\Desktop\webdesa\public\assets\js\pages\range-sliders.init.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\kukohfr\Desktop\webdesa\public\assets\js\pages\responsive-table.init.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\kukohfr\Desktop\webdesa\public\assets\js\pages\sparkline.init.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\kukohfr\Desktop\webdesa\public\assets\js\pages\sweet-alerts.init.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\kukohfr\Desktop\webdesa\public\assets\js\pages\toastr.init.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\kukohfr\Desktop\webdesa\public\assets\js\vendor.js", "JavaScript", 12120, 0, 0, 0, 0, 0, 0, 0, 0, 3281, 3404, 18805
"c:\Users\kukohfr\Desktop\webdesa\public\assets\js\vendor.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\bootstrap-colorpicker\bootstrap-colorpicker.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 8, 1, 10
"c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\bootstrap-colorpicker\bootstrap-colorpicker.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 10
"c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\bootstrap-datepicker\bootstrap-datepicker.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 5, 1, 7
"c:\Users\kukohfr\Desktop\webdesa\public\assets\libs\bootstrap-datepicker\bootstrap-datepicker.min.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 8
